ACT,DISTRIBUTOR_CODE,SSO,ITEM_HEAD,REGION
81,BD10519397,23,"SIM KIT",Barisal
154,BD10519593,140,"SIM KIT",Barisal
20,BD10535067,40,"SIM KIT",Barisal
94,BD10525605,102,"SIM KIT",Barisal
59,BD10519888,1,"SIM KIT",Barisal
ACT,DISTRIBUTOR_CODE,SSO,ITEM_HEAD,REGION
100,BD10550164,140,"SIM KIT",Mymensingh
136,BD10550164,286,"SIM KIT",Mymensingh
108,BD10550164,20,"SIM KIT",Mymensingh
133,BD10550164,124,"SIM KIT",Mymensingh
156,BD10550164,61,"SIM KIT",Mymensingh
88,BD10550164,163,"SIM KIT",Mymensingh
84,BD10550164,165,"SIM KIT",Mymensingh
138,BD10537653,133,"SIM KIT",Mymensingh
89,BD10537653,10,"SIM KIT",Mymensingh
117,BD10537653,690,"SIM KIT",Mymensingh
54,BD10537653,21,"SIM KIT",Mymensingh
153,BD10530382,205,"SIM KIT",Mymensingh
135,BD10530382,79,"SIM KIT",Mymensingh
310,BD10519473,216,"SIM KIT",Mymensingh
293,BD10519473,191,"SIM KIT",Mymensingh
103,BD10519997,229,"SIM KIT",Mymensingh
152,BD10519997,337,"SIM KIT",Mymensingh
354,BD10530255,464,"SIM KIT",Mymensingh
238,BD10072074,1116,"SIM KIT",Mymensingh
250,BD10072074,306,"SIM KIT",Mymensingh
303,BD10072074,1239,"SIM KIT",Mymensingh
216,BD10072074,282,"SIM KIT",Mymensingh
105,BD10550161,83,"SIM KIT",Mymensingh
243,BD10550161,376,"SIM KIT",Mymensingh
260,BD10550161,224,"SIM KIT",Mymensingh
183,BD10550160,55,"SIM KIT",Mymensingh
213,BD10550160,325,"SIM KIT",Mymensingh
221,BD10550160,309,"SIM KIT",Mymensingh
96,BD10536896,177,"SIM KIT",Mymensingh
126,BD10536896,32,"SIM KIT",Mymensingh
159,BD10536896,15,"SIM KIT",Mymensingh
130,BD10536896,30,"SIM KIT",Mymensingh
166,BD10536896,52,"SIM KIT",Mymensingh
134,BD10536896,135,"SIM KIT",Mymensingh
145,BD10540148,84,"SIM KIT",Mymensingh
163,BD10540148,265,"SIM KIT",Mymensingh
14,BD10546369,145,"SIM KIT",Mymensingh
73,BD10546369,188,"SIM KIT",Mymensingh
52,BD10546369,208,"SIM KIT",Mymensingh
117,BD10531185,212,"SIM KIT",Mymensingh
33,BD10519474,104,"SIM KIT",Mymensingh
35,BD10519474,45,"SIM KIT",Mymensingh
52,BD10519474,45,"SIM KIT",Mymensingh
58,BD10519474,10,"SIM KIT",Mymensingh
113,BD10519984,333,"SIM KIT",Mymensingh
274,BD10519984,501,"SIM KIT",Mymensingh
364,BD10519984,50,"SIM KIT",Mymensingh
194,BD10519984,1186,"SIM KIT",Mymensingh
104,BD10519984,172,"SIM KIT",Mymensingh
124,BD10519984,183,"SIM KIT",Mymensingh
187,BD10519985,103,"SIM KIT",Mymensingh
131,BD10519985,75,"SIM KIT",Mymensingh
100,BD10444923,66,"SIM KIT",Mymensingh
207,BD10444923,195,"SIM KIT",Mymensingh
19,BD10539860,26,"SIM KIT",Mymensingh
24,BD10539860,50,"SIM KIT",Mymensingh
26,BD10539860,25,"SIM KIT",Mymensingh
31,BD10539860,30,"SIM KIT",Mymensingh
43,BD10540147,45,"SIM KIT",Mymensingh
196,BD10540147,204,"SIM KIT",Mymensingh
57,BD10540147,151,"SIM KIT",Mymensingh
50,BD10540147,130,"SIM KIT",Mymensingh
